Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,135.157194,-134.716133,90.0,top
C10,1u,C_0402_1005Metric,96.901,-103.505,-90.0,top
C11,10n,C_0402_1005Metric,103.470231,-97.512576,180.0,top
C12,10n,C_0402_1005Metric,110.626538,-97.520079,0.0,top
C13,1u,C_0402_1005Metric,108.58436,-103.218701,-90.0,top
C14,100n,C_0402_1005Metric,101.591948,-104.771543,90.0,top
C15,10n,C_0402_1005Metric,107.851547,-99.235769,90.0,top
C16,10n,C_0402_1005Metric,102.278781,-91.241128,-90.0,top
C17,1u,C_0402_1005Metric,108.862606,-99.243546,90.0,top
C18,1u,C_0402_1005Metric,101.158839,-91.26446,-90.0,top
C19,10n,C_0402_1005Metric,102.094885,-106.87178,-90.0,top
C20,1u,C_0402_1005Metric,99.154135,-103.483922,-90.0,top
C21,1u,C_0402_1005Metric,101.042347,-106.876965,-90.0,top
C22,1u,C_0402_1005Metric,111.753915,-103.757947,-90.0,top
C23,1n,C_0805_2012Metric,134.509372,-51.041904,0.0,top
C24,1u,C_0805_2012Metric,136.3,-61.14,0.0,top
C25,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.3,-63.64,0.0,top
C26,10u,C_1206_3216Metric,125.200007,-46.494022,90.0,top
C27,10n,C_0805_2012Metric,124.082661,-42.835627,180.0,top
C28,10n,C_0805_2012Metric,108.579658,-42.168935,90.0,top
C29,47p,C_0805_2012Metric,171.827796,-143.031045,0.0,top
C3,10u,C_1206_3216Metric,106.562042,-47.8646,90.0,top
C30,47p,C_0805_2012Metric,174.072461,-137.038591,180.0,top
C31,100n,C_0805_2012Metric,186.057368,-142.389712,0.0,top
C32,100n,C_0805_2012Metric,178.755526,-136.34,0.0,top
C33,47p,C_0805_2012Metric,81.818167,-137.563839,180.0,top
C34,47p,C_0805_2012Metric,81.234731,-143.131829,0.0,top
C35,100n,C_0805_2012Metric,69.993202,-139.130574,90.0,top
C36,100n,C_0805_2012Metric,68.262465,-142.838958,180.0,top
C4,10n,C_0805_2012Metric,106.612595,-43.466468,90.0,top
C5,10n,C_0805_2012Metric,91.623348,-44.34,-90.0,top
C6,1n,C_0402_1005Metric,101.531149,-110.899946,-90.0,top
C7,470n,C_0402_1005Metric,108.48984,-111.55001,180.0,top
C8,100n,C_0402_1005Metric,106.459945,-111.515012,180.0,top
C9,100n,C_0402_1005Metric,104.884343,-111.024719,90.0,top
D1,LED,LED_0603_1608Metric,101.171557,-95.641065,0.0,top
D10,NUP2105L,SOT-23,171.527171,-140.06488,90.0,top
D11,NUP2105L,SOT-23,86.006872,-142.454002,270.0,top
D2,D_Schottky,D_SMA,201.8,-78.64,-90.0,top
D3,D_Schottky,D_SMA,201.8,-70.44,-90.0,top
D4,D_Schottky,D_SMA,201.8,-62.54,-90.0,top
D5,D_Schottky,D_SMA,201.9,-54.24,-90.0,top
D6,D_Schottky,D_SMA,70.9,-49.24,0.0,top
D7,D_Schottky,D_SMA,74.6,-59.84,-90.0,top
D8,D_Schottky,D_SMA,74.5,-67.04,-90.0,top
D9,D_Schottky,D_SMA,68.4,-83.74,0.0,top
F1,Fuse,Fuseholder_Blade_Mini_Keystone_3568,190.664464,-55.502664,-90.0,top
J1,Molex_112_643330100,Molex_112_643330100,137.45,-35.24,0.0,top
J3,Conn_01x05_Male,PinHeader_1x05_P2.00mm_Vertical,194.31,-95.25,180.0,top
J4,USB_B,BMM-USB,203.654999,-93.97,0.0,top
J5,Conn_01x07,PinHeader_1x07_P2.54mm_Vertical,93.888235,-98.637793,0.0,top
P1,Pad,PAD-TH,71.628,-46.0756,180.0,top
P2,Pad,PAD-TH,71.7804,-42.926,180.0,top
P3,Pad,PAD-TH,74.2696,-53.4416,180.0,top
P4,Pad,PAD-TH,201.8792,-83.8708,0.0,top
P5,Pad,PAD-TH,202.2348,-46.0756,0.0,top
P6,Pad,PAD-TH,206.4004,-49.9364,0.0,top
Q1,NGD8201AN,TO-252-2,174.651404,-51.013011,90.0,top
Q2,NGD8201AN,TO-252-2,165.617124,-50.940737,90.0,top
Q3,NGD8201AN,TO-252-2,157.132819,-51.04729,90.0,top
Q4,NGD8201AN,TO-252-2,148.202936,-51.240022,90.0,top
Q5,NGD8201AN,TO-252-2,172.7,-68.18,90.0,top
Q6,NGD8201AN,TO-252-2,163.7,-68.18,90.0,top
Q7,NGD8201AN,TO-252-2,155.7,-68.18,90.0,top
Q8,NGD8201AN,TO-252-2,146.7,-68.142005,90.0,top
R1,1k,R_0805_2012Metric,167.671605,-105.177683,180.0,top
R10,100k,R_0402_1005Metric,101.545284,-108.914638,-90.0,top
R11,100k,R_0402_1005Metric,103.162406,-110.402584,0.0,top
R12,10k,R_0402_1005Metric,108.501506,-110.4534,0.0,top
R13,100k,R_0402_1005Metric,103.241362,-111.507528,0.0,top
R14,100k,R_0402_1005Metric,102.660041,-108.878344,90.0,top
R15,68k,R_0402_1005Metric,106.448279,-110.441734,180.0,top
R16,10,R_0402_1005Metric,98.044,-103.505,90.0,top
R17,10k,R_0402_1005Metric,111.786259,-107.781094,-90.0,top
R18,10k,R_0402_1005Metric,111.786259,-105.739532,-90.0,top
R19,10,R_0402_1005Metric,110.09317,-103.677567,180.0,top
